WKT,Type_id,Type_road,SHAPE_Leng,Name
"LINESTRING (423345.623100000433624 2932956.0842,423347.134700000286102 2932953.061,423352.803100000135601 2932951.549399999902,423362.628299999982 2932951.9273,423415.155600000172853 2932950.0379,423574.249099999666214 2932951.17159999907,423631.716099999845028 2932951.581,423775.664800000376999 2932952.606799999252,423782.923899999819696 2932952.6585,423793.805599999614 2932948.5263,423802.497100000269711 2932934.9221,423801.363400000147521 2932851.78539999947,423800.894100000150502 2932817.367,423799.796900000423193 2932736.9086,423801.741299999878 2932621.6478,423804.661899999715388 2932448.5247,423717.4709 2932448.5723,423469.194500000216067 2932448.5723,423347.512500000186265 2932445.92699999921,423346.272699999623001 2932445.9001,423344.740899999625981 2932516.3617,423344.837799999862909 2932642.1575,423344.949500000104308 2932787.381599999964,423345.0515 2932919.874299999326,423345.623100000433624 2932956.0842,423344.518899999558926 2933168.575799999759,423343.084099999628961 2933196.953299999237,423344.040599999949 2933201.5766,423345.491299999878 2933208.58799999952,423344.837799999862909 2933237.4471,423343.881199999712408 2933279.6884,423343.660199999809265 2933289.4494,423231.168399999849498 2933289.1005,423231.126299999654293 2933302.651399999857,423225.057699999772012 2933302.6326)",1,Metal,   2388.06525926000,
"LINESTRING (423804.661899999715388 2932448.5247,423858.404099999927 2932448.3716,423907.397199999541044 2932461.2617,424069.254099999554455 2932464.23699999973,424220.399899999611 2932461.2617,424372.735899999738 2932462.451799999923,424407.249499999918 2932467.80739999935,424498.889000000432134 2932464.8321,424964.300612636317965 2932463.657124532386661)",1,Metal,   1162.77881632000,
"LINESTRING (422992.563799999654293 2932241.202899999917,423172.893799999728799 2932108.3475,423232.949099999852479 2932064.1027,423345.010800000280142 2931984.040599999949,423345.979199999943 2931876.05729999952,423346.847299999557436 2931796.243699999526,423459.533800000324845 2931796.243699999526,423480.535000000149012 2931796.1675,423616.179700000211596 2931795.6751,423797.288499999791384 2931792.8453,423797.422531856864225 2931792.844252490438521,423798.911634997639339 2931792.974532133899629,423800.355492493021302 2931793.361412583850324,423801.710233463614713 2931793.993138673249632,423802.934694790514186 2931794.850515724625438,423803.523299999535084 2931795.3932,423804.360238810069859 2931796.379220922011882,423805.307199999690056 2931798.0477,423805.578224627301097 2931798.769630007445812,423805.825899999588728 2931799.7105,423805.997899999842048 2931801.4196,423805.982300000265241 2931928.828199999407,423805.973000000230968 2932005.0435,423805.326500000432134 2932110.324799999595,423804.693199999630451 2932178.9813,423804.661899999715388 2932448.5247)",1,Metal,   1735.28727794000,
"LINESTRING (423542.56900000013411 2932448.5723,423545.474399999715388 2932179.706499999389,423549.832399999722838 2932173.8957,423550.800900000147521 2932154.526499999687,423550.596800000406802 2931997.9889,423550.596800000406802 2931997.969499999657,423550.697264942864422 2931996.24464322347194,423551.49285116023384 2931992.887801019009203,423553.041133336024359 2931989.80491773923859,423555.059299999848008 2931987.3538,423565.3278 2931977.2982,423596.3185 2931948.7287,423599.982200000435114 2931945.17799999937,423602.350899999961 2931942.419399999082,423602.464231119840406 2931942.258280599955469,423604.416920371470042 2931938.740208613220602,423605.621455274871551 2931934.901078309863806,423605.856599999591708 2931933.5073,423606.027200000360608 2931931.12529999949,423606.367399999872 2931901.3604,423606.971599999815226 2931848.493,423609.498700000345707 2931832.6837,423613.242399999872 2931809.2628,423616.179700000211596 2931795.6751)",1,Metal,    677.51487159900,
"LINESTRING (423806.385800000280142 2932005.0435,423857.846300000324845 2932004.5491,423910.911100000143051 2932004.5107,423964.364699999801815 2932004.5491,424018.363599999807775 2932004.5491,424118.398099999875 2932004.5491,424120.428178885194939 2932004.655487631913275,424124.39945216011256 2932005.499607824720442,424125.244 2932005.7957,424128.107951830374077 2932007.150771788321435,424128.41330000013113 2932007.3308,424131.392983725410886 2932009.537433851510286,424134.109649895748589 2932012.554597299080342,424136.139646838419139 2932016.070655142888427,424137.394253946084064 2932019.931938783731312,424137.818638867756817 2932023.969691597856581,424137.806599999777973 2932024.6534,424134.744800000451505 2932111.560599999502,424212.907599999569356 2932112.5469,424219.318400000222027 2932115.505799999461,424222.770399999804795 2932120.930299999192,424223.263500000350177 2932128.0808,424222.525100000202656 2932461.2783)",1,Metal,    862.19066355000,
"LINESTRING (423805.739299999549985 2932110.324799999595,424134.744800000451505 2932111.560599999502)",1,Metal,    329.00782092900,
"LINESTRING (424003.590499999933 2932463.03,424004.846900000236928 2932223.643899999559,424004.889700000174344 2932215.493799999356,424016.2006 2932202.1531,424223.10120000038296 2932201.3396)",1,Metal,    471.93211272400,
"LINESTRING (424004.490600000135601 2932291.5329,424222.901700000278652 2932291.3603)",1,Metal,    218.41116819900,
"LINESTRING (424004.014600000344217 2932382.2211,424222.7012 2932381.834899999201)",1,Metal,    218.68694101400,
"LINESTRING (424021.888399999588728 2932202.13069999963,424021.409099999815226 2932111.354199999943)",1,Metal,     90.77776534310,
